business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y,gps,original_gps,corrected,correction_method
127,LES ENTREPRISES ALJO,12515   Boulevard Rodolphe-Forget ,Montréal,"Québec, Canada",Distributrice automatique,Ouvert,20031123,45.650662,-73.580265,298544.05,5056755.11,"45.6512176,-73.5791509","45.6512176,-73.5791509",False,
135,PROVI-TOT,9128   Boulevard Perras ,Montréal,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20090821,45.650348,-73.577731,298741.52,5056720.11,"45.6503003,-73.5774238","45.6503003,-73.5774238",False,
138,LE PETIT TABLIER,690   Rue Sherbrooke Ouest,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20090306,45.504673,-73.573766,299035.65,5040530.65,"45.5044336,-73.573694","45.5044336,-73.573694",False,
140,RESTO-PUB MARCO POLO,7985   Avenue Marco-Polo ,Montréal,"Québec, Canada",Brasserie,Fermé,20230914,45.62598,-73.583592,298281.88,5054012.39,"45.6263497,-73.5837558","45.6263497,-73.5837558",False,
142,L'EURO-MARCHE ST-MICHEL,10181   Boulevard Saint-Michel ,Montréal-Nord,"Québec, Canada",Boucherie-épicerie,Ouvert,19930318,45.579391,-73.643019,293638.74,5048841.44,"45.5794495,-73.6428325","45.5794495,-73.6428325",False,
146,BISTRO OLA KALA,522   Rue Jarry Ouest,Montréal,"Québec, Canada","Bar salon, taverne",Fermé changement d'exploitant,20120921,45.531975,-73.635054,294251.47,5043570.93,"45.531743,-73.6352459","45.531743,-73.6352459",False,
147,SUSHI SHOP EXPRESS,1000  rc01 Rue De La Gauchetière Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Ouvert,19920901,45.498531,-73.566914,299570.54,5039847.63,"45.4983565,-73.5665041","45.4983565,-73.5665041",False,
148,MM MUFFINS,1000  R-6 Rue De La Gauchetière Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé changement d'exploitant,20121219,45.498531,-73.566914,299570.54,5039847.63,"45.5006614,-73.5653517","45.5006614,-73.5653517",False,
149,ALIMENTATION ERIC DA PONTE,8115   Boulevard Maurice-Duplessis ,Montréal,"Québec, Canada",Supermarché,Fermé,20100118,45.63383,-73.586499,298056.08,5054885.06,"45.6337444,-73.5872189","45.6337444,-73.5872189",False,
150,PATES & PIZZA MEDZOO,845  G206 Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20080912,45.516058,-73.558378,300239.05,5041794.89,"45.5202567,-73.5545203","45.5202567,-73.5545203",False,
