id_poursuite,business_id,date,description,adresse,date_jugement,etablissement,montant,proprietaire,ville,statut,date_statut,categorie,gps
2645,219,20150514,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","8591 Boul. Maurice-Duplessis, Montréal, Québec",20160329,BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.,1000,BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.,Montréal,Ouvert,19930310,Boulangerie,"45.6386247,-73.5807984"
2550,219,20150305,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","8591 Boul. Maurice-Duplessis, Montréal, Québec",20160329,BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.,1000,BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.,Montréal,Ouvert,19930310,Boulangerie,"45.6386247,-73.5807984"
4613,219,20170731,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","8591 Boul. Maurice-Duplessis, Montréal, Québec",20190111,BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.,1000,BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.,Montréal,Ouvert,19930310,Boulangerie,"45.6386247,-73.5807984"
6367,15320,20190118,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","821 Av. Ogilvy, Montréal, Québec",20210122,POPOTE ROULANTE # 102 FILIA,1800,CENTRE D'ACTION BENEVOLE DE MONTREAL INC.,Montréal,Ouvert,20000804,Restaurant mets pour emporter,"45.5266063,-73.6270327"
10262,15320,20241023,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","821 Av. Ogilvy, Montréal, Québec",20250523,POPOTE ROULANTE # 102 FILIA,2300,CENTRE D'ACTION BENEVOLE DE MONTREAL INC.,Montréal,Ouvert,20000804,Restaurant mets pour emporter,"45.5266063,-73.6270327"
9776,128401,20240306,"Il est interdit dans un établissement de distribuer sur place, pour emporter ou par livraison, les articles à usage unique suivants: barquette #6, Assiette #6, Contenant et couvercle #6, Couvercle de tasse ou verre #6, Tasse ou verre, Bâtonnet, Paille, Ustensile #1, #2, ,3, #4, #5, #6.","9280 Rue Sherbrooke Est, Montréal, Québec",20240329,BOUCHERIE FORTIN,400,BOUCHERIE FORTIN (1983) INC.,Montréal,Ouvert,20231212,Boucherie,"45.609845,-73.525928"
3270,813,20160407,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec",20171124,LE ROI DE LA POINTE DE PIZZA,500,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
3944,813,20161206,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec",20180426,LE ROI DE LA POINTE DE PIZZA,650,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
4448,813,20170612,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec",20190125,LE ROI DE LA POINTE DE PIZZA,900,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
5744,813,20180828,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec",20200214,LE ROI DE LA POINTE DE PIZZA,1000,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
